,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,B,B,B,B,,,,,,,,,,,,,,,,,
,,,,,,,,B,B,B,Y,Y,Y,Y,B,B,B,,,,,,,,,,,,,,
,,,,,,,B,B,Y,Y,Y,Y,Y,Y,B,G,B,B,,,,,,,,,,,,,
,,,,,,B,B,B,B,Y,Y,Y,Y,Y,B,G,G,B,B,,,,,,,,,,,,
,,,,,B,B,G,G,B,Y,Y,Y,B,B,G,G,G,B,B,,,,,,,,,,,,
,,,,,B,G,G,G,G,B,B,B,G,G,G,B,B,Y,B,B,,,,,,,,,,,
,,,,B,B,B,G,G,G,G,G,G,G,G,G,B,Y,Y,Y,B,,,,,,,,,,,
,,,,B,Y,Y,B,G,G,G,B,B,G,G,G,B,Y,Y,Y,B,B,,,,,,,,,,
,,,,B,Y,Y,B,G,G,B,Y,Y,B,G,G,B,B,Y,Y,Y,B,B,,B,B,B,B,B,B,B,
,,,,B,Y,Y,B,G,B,Y,Y,Y,Y,B,G,G,B,Y,B,B,B,G,B,B,R,R,R,R,R,B,B
,,,,B,Y,Y,B,G,B,Y,Y,Y,Y,B,G,G,G,B,B,G,G,B,B,R,R,R,W,B,R,R,B
,,,B,B,Y,B,B,G,B,Y,Y,Y,Y,B,G,G,G,G,G,G,B,B,R,R,R,R,B,B,R,R,B
,,B,B,B,B,B,G,G,B,B,Y,Y,B,B,G,G,G,G,G,B,B,R,R,R,R,R,R,R,R,R,B
,,B,G,G,G,G,G,G,G,B,B,B,G,G,G,G,G,G,B,B,R,R,R,R,R,R,R,R,R,R,B
,,B,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,R,R,R,R,R,R,R,R,R,B,B,B
B,B,B,B,B,B,G,G,G,G,G,G,G,G,G,G,G,B,B,B,R,R,R,R,R,R,R,B,B,B,,
B,B,R,R,R,B,B,B,B,G,G,G,G,G,G,G,B,B,B,R,R,R,R,R,B,B,R,R,B,,,
,B,B,R,B,B,R,R,B,B,B,B,B,B,B,B,B,B,R,R,R,B,R,B,B,B,B,B,B,,,
,,B,B,R,R,R,R,R,R,B,R,R,R,R,R,B,B,R,R,R,B,B,B,B,,,,,,,
,B,B,R,R,R,R,R,R,R,B,B,B,B,B,B,B,B,R,R,R,R,R,R,R,B,,,,,,
,B,R,R,R,R,R,R,R,B,,,,,,,,B,R,R,R,R,R,R,R,B,,,,,,
,B,B,R,R,R,R,B,B,,,,,,,,,,B,B,R,R,R,B,B,,,,,,,
,,B,B,B,B,B,B,,,,,,,,,,,,,B,B,B,B,,,,,,,,
