0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,
32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,
64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,
96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,

128,130,132,0,128,130,132,0,144,146,148,124,152,154,156,0,
160,162,164,166,168,162,172,174,176,162,180,182,184,186,188,190,
192,194,196,198,200,194,196,206,200,194,196,206,216,218,220,222,

152,154,156,0,232,234,236,124,128,242,132,0,128,250,132,0,
256,186,260,262,264,186,268,270,160,274,164,166,160,282,164,166,
216,218,220,294,216,218,220,294,304,306,308,310,304,306,308,310,

320,322,324,326,328,330,332,334,336,338,328,330,332,334,336,338,
354,358,358,360,368,358,358,358,370,384,368,358,358,358,370,384,
386,388,392,0,394,396,398,400,402,416,394,396,398,400,402,416,
448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,
450,452,454,456,458,480,454,456,458,480,454,456,458,480,454,456,
482,484,486,488,490,492,516,488,490,492,516,488,490,492,516,488,
0,0,518,520,522,524,550,520,522,524,550,520,522,524,550,520,
0,0,482,552,554,556,558,560,584,556,558,560,584,556,558,560,
0,0,0,0,616,480,454,456,458,480,454,456,458,480,454,456,
0,0,0,0,648,492,516,488,490,492,516,488,490,492,516,488,
0,0,0,0,680,524,550,520,522,524,550,520,522,524,550,520,
0,0,0,0,684,556,686,704,584,556,686,704,584,556,686,704,
712,712,712,712,714,716,718,720,736,716,718,720,736,716,718,720,
738,742,742,762,742,762,742,762,742,762,742,762,742,766,762,768,
770,774,774,798,774,798,774,798,774,798,774,798,774,798,798,800,
802,804,806,810,804,830,806,810,804,830,806,810,804,830,810,832,
834,836,838,874,834,836,838,874,834,836,838,874,834,836,838,874,

