,,,,,,,,,,,,#30,#30,#30,#30,#30,,,,,,,
,,,,,,,,,,#30,#30,#30,#30,#30,#3F,#30,#30,#30,,,,,
,,,,,,,,,#30,#30,#30,#30,#30,#30,#30,#30,#3F,#30,#30,,,,
,,,,,,,,,#30,#30,#30,#30,#30,#30,#30,#30,#30,#3F,#30,,,,
,,,,,,,,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,,,
,,,,,,,,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,,,
,,,,,,,,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,#30,,,
,,,,,,,,#30,#30,#30,#30,#30,#30,#0F,#0F,#16,#16,#2B,#2B,#0F,#0F,,
,,,,,,,,#30,#30,#0F,#3F,#3F,#0F,#16,#2B,#3F,#3F,#2B,#3F,#2B,,,
,,,,,,,,#0F,#3F,#2B,#16,#3F,#16,#2B,#3F,#3F,#31,#2B,#31,#3F,,#2B,
,,,,,,,,#0F,#3F,#2B,#16,#3F,#16,#2B,#3F,#3F,#31,#2B,#31,#3F,#16,#2B,
,,,,,,,,#0F,#3F,#2B,#16,#3F,#16,#2B,#2B,#2B,#2B,#2B,#2B,#2B,#16,#2B,#2B
,,,,,,,,,#2B,#3F,#3F,#0F,#16,#2B,#2B,#03,#3F,#3F,#2B,#2B,#16,#2B,
,,,,,,,#2B,#2B,#2B,#2B,#0F,#3F,#16,#16,#2B,#2B,#03,#03,#2B,#2B,#16,,
,,,,#2B,#2B,#2B,#2B,#16,#2B,#2B,#2B,#16,#3F,#16,#16,#2B,#3F,#3F,#3F,#2B,,,
,,#31,#2B,#2B,#2B,#2B,#16,#16,#16,#2B,#2B,#2B,#16,#3F,#2B,#3F,#3F,#3F,#3F,,,,
,,#31,#2B,#2B,#2B,#16,#16,#31,#16,#2B,#2B,#2B,#16,#16,#16,#16,#16,,,,,,
,,,#31,#2B,#2B,#31,#31,#31,#16,#2B,#2B,#2B,#2B,#16,#16,#16,#16,,,,,,
,,,,#31,#31,#31,#31,#0C,#0C,#16,#2B,#2B,#2B,#2B,#16,#16,,,,,,,
,,,,,,#31,#0C,#0C,#08,#0C,#16,#2B,#2B,#2B,#2B,#2B,,#3F,#3F,,,,
,,,,,,#31,#3F,#2A,#08,#08,#0C,#0C,#0C,#0C,#0C,#08,#3F,#3F,#3F,#3F,,,
,,,,,#31,#3F,#3F,#3F,#2A,#08,#0C,#0C,#08,#08,#08,#08,#3F,#3F,#3F,#3F,,,
,,,,,#31,#3F,#3F,#3F,#2A,#31,#08,#08,#08,#08,#08,#08,#3F,#2B,#2B,#2B,,,
,#03,,,#31,#16,#16,#2B,#3F,,,#31,#08,#08,#31,#31,#31,#16,#2B,#2B,#2B,,,
#03,#03,#03,#31,#2B,#1B,#1B,#1B,#2A,,,#31,#31,,,,#31,#16,#2B,#2B,#2B,#2B,,
#3F,#03,#03,#31,#2B,#1B,#1B,#1B,#2A,#03,#03,#02,#02,#02,#02,#02,#31,#16,#16,#16,#2B,#2B,#03,
#31,#3F,#03,#03,,,,,#03,#03,#03,#03,#03,#03,#02,#02,#02,#31,#31,#31,#31,#03,#03,#3F
,#31,#3F,#3F,#03,#03,#03,#03,#03,#03,#03,#03,#03,#03,#03,#03,#03,#03,#03,#03,#03,#03,#3F,
,,#31,#31,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,#3F,,
,,,,#31,#2A,#30,#30,#2A,#31,#31,#31,#31,#31,#31,#31,#31,#2A,#30,#30,#2A,,,
,,,,#31,#2A,#30,#30,#3F,,,,,,,,#31,#2A,#30,#30,#3F,,,
,,,,,#31,#3F,#3F,,,,,,,,,,,#3F,#3F,,,,
