"#00","#000000"
"#01","#550000"
"#02","#aa0000"
"#03","#ff0000"
"#04","#005500"
"#05","#555500"
"#06","#aa5500"
"#07","#ff5500"
"#08","#00aa00"
"#09","#55aa00"
"#0A","#aaaa00"
"#0B","#ffaa00"
"#0C","#00ff00"
"#0D","#55ff00"
"#0E","#aaff00"
"#0F","#ffff00"
"#10","#000055"
"#11","#550055"
"#12","#aa0055"
"#13","#ff0055"
"#14","#005555"
"#15","#555555"
"#16","#aa5555"
"#17","#ff5555"
"#18","#00aa55"
"#19","#55aa55"
"#1A","#aaaa55"
"#1B","#ffaa55"
"#1C","#00ff55"
"#1D","#55ff55"
"#1E","#aaff55"
"#1F","#ffff55"
"#20","#0000aa"
"#21","#5500aa"
"#22","#aa00aa"
"#23","#ff00aa"
"#24","#0055aa"
"#25","#5555aa"
"#26","#aa55aa"
"#27","#ff55aa"
"#28","#00aaaa"
"#29","#55aaaa"
"#2A","#aaaaaa"
"#2B","#ffaaaa"
"#2C","#00ffaa"
"#2D","#55ffaa"
"#2E","#aaffaa"
"#2F","#ffffaa"
"#30","#0000ff"
"#31","#5500ff"
"#32","#aa00ff"
"#33","#ff00ff"
"#34","#0055ff"
"#35","#5555ff"
"#36","#aa55ff"
"#37","#ff55ff"
"#38","#00aaff"
"#39","#55aaff"
"#3A","#aaaaff"
"#3B","#ffaaff"
"#3C","#00ffff"
"#3D","#55ffff"
"#3E","#aaffff"
"#3F","#ffffff"
