00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
01,02,03,04,01,02,03,04,01,02,03,04,01,02,05,06
07,08,09,10,07,08,09,10,07,08,09,10,07,11,12,13
14,15,16,17,14,15,16,17,14,15,16,17,14,18,19,19
20,21,22,23,20,21,22,23,20,21,22,24,25,13,19,19
01,02,03,04,01,02,03,04,01,02,03,26,19,19,19,19
07,08,09,10,07,08,09,10,07,08,09,27,19,19,19,19
14,15,16,17,14,15,16,17,14,15,16,28,19,19,19,19
29,30,22,23,29,30,22,23,29,30,22,31,19,19,19,19
32,33,34,35,32,33,34,35,32,33,34,36,37,37,37,37
38,39,40,41,38,39,40,41,38,39,40,41,42,42,42,42
40,40,39,40,40,40,39,40,40,40,39,40,40,40,40,40
