// AA-mixerd01  #Check # 1	turtle 1x sign rght
WavesBlock,1
TurtleFly2,4
BridgeLeft,1
BridgeSign,1
BridgeMidd,1

WavesBlock,8

// BB-mixerd02	#Check # 4	turtle 2x sign midd
WavesBlock,1
TurtleSea2,3
IslandLeft,1
IslandSign,2
IslandMidd,1

WavesBlock,8

// CC-island01  #Check # 7	island 3x sign midd
WavesBlock,1
IslandLeft,4
IslandSign,3

WavesBlock,8

// DD-dropsd01  #Check # 7	bridge signs 1x miss harder
WavesBlock,1
TurtleFly2,2
WavesBlock,1
BridgeLeft,1
BridgeSign,1
BridgeMidd,1
BridgeSign,1
