Result,Angle,Speed,HangTime,HorzDist,MaxJumper,VertDist,MinHeight,MaxFrames,DeltaYData
TRUE,5,35,0.62,22,0,0,112,61,-58|-39|-21|-2|16|35|54|72|91|109|128|146|165|184|202|221|239|258|276|295|314|332|351|369|388|406|425|444|462|481|499|518|536|555|574|592|611|629|648|666|685|704|722|741|759|778|796|815|834|852|871|889|908|926|945|964|982|1001|1019|1038
TRUE,10,35,1.24,43,1,2,110,63,-126|-107|-88|-69|-50|-31|-12|7|26|45|64|83|102|121|140|159|178|197|216|235|254|273|292|311|330|349|368|387|406|425|444|463|482|501|520|539|558|577|596|615|634|653|672|691|710|729|748|767|786|805|824|843|862|881|900|919|938|957|976|995|1014|1033
TRUE,15,35,1.85,63,1,4,108,67,-196|-176|-156|-137|-117|-97|-77|-58|-38|-18|2|21|41|61|81|100|120|140|160|179|199|219|239|258|278|298|318|337|357|377|397|417|436|456|476|496|515|535|555|575|594|614|634|654|673|693|713|733|752|772|792|812|831|851|871|891|910|930|950|970|989|1009|1029|1049|1068|1088
TRUE,20,35,2.44,80,2,7,105,69,-269|-248|-227|-206|-186|-165|-144|-123|-102|-81|-60|-39|-19|2|23|44|65|86|107|128|148|169|190|211|232|253|274|294|315|336|357|378|399|420|441|461|482|503|524|545|566|587|608|628|649|670|691|712|733|754|775|795|816|837|858|879|900|921|942|962|983|1004|1025|1046|1067|1088|1109|1129
TRUE,25,35,3.02,96,3,11,101,70,-347|-324|-302|-280|-257|-235|-212|-190|-167|-145|-123|-100|-78|-55|-33|-10|12|35|57|79|102|124|147|169|192|214|237|259|281|304|326|349|371|394|416|438|461|483|506|528|551|573|596|618|640|663|685|708|730|753|775|798|820|842|865|887|910|932|955|977|999|1022|1044|1067|1089|1112|1134|1157|1179
TRUE,30,35,3.57,108,3,16,96,71,-431|-407|-382|-357|-333|-308|-284|-259|-235|-210|-185|-161|-136|-112|-87|-62|-38|-13|11|36|60|85|110|134|159|183|208|232|257|282|306|331|355|380|404|429|454|478|503|527|552|576|601|626|650|675|699|724|749|773|798|822|847|871|896|921|945|970|994|1019|1043|1068|1093|1117|1142|1166|1191|1215|1240|1265
TRUE,35,35,4.1,117,3,21,91,71,-524|-497|-469|-442|-414|-387|-359|-332|-304|-277|-249|-222|-194|-167|-139|-112|-85|-57|-30|-2|25|53|80|108|135|163|190|218|245|273|300|328|355|382|410|437|465|492|520|547|575|602|630|657|685|712|740|767|794|822|849|877|904|932|959|987|1014|1042|1069|1097|1124|1152|1179|1207|1234|1261|1289|1316|1344|1371
TRUE,40,35,4.59,123,3,26,86,69,-629|-597|-566|-534|-503|-472|-440|-409|-377|-346|-315|-283|-252|-220|-189|-158|-126|-95|-63|-32|-1|31|62|94|125|157|188|219|251|282|314|345|376|408|439|471|502|533|565|596|628|659|690|722|753|785|816|848|879|910|942|973|1005|1036|1067|1099|1130|1162|1193|1224|1256|1287|1319|1350|1382|1413|1444|1476
TRUE,45,35,5.05,125,3,31,81,67,-750|-713|-676|-639|-602|-565|-528|-492|-455|-418|-381|-344|-307|-270|-233|-197|-160|-123|-86|-49|-12|25|61|98|135|172|209|246|283|319|356|393|430|467|504|541|578|614|651|688|725|762|799|836|872|909|946|983|1020|1057|1094|1130|1167|1204|1241|1278|1315|1352|1389|1425|1462|1499|1536|1573|1610|1647
TRUE,50,35,5.47,123,3,37,75,63,-893|-848|-804|-759|-715|-670|-625|-581|-536|-491|-447|-402|-358|-313|-268|-224|-179|-135|-90|-45|-1|44|88|133|178|222|267|312|356|401|445|490|535|579|624|668|713|758|802|847|891|936|981|1025|1070|1115|1159|1204|1248|1293|1338|1382|1427|1471|1516|1561|1605|1650|1694|1739|1784|1828
FALSE,55,35,5.85,117,3,42,70,58,8.08
FALSE,60,35,6.19,108,3,47,65,48,8.2
FALSE,65,35,6.47,96,3,51,61,38,8.28
FALSE,70,35,6.71,80,2,55,57,28,8.07
FALSE,75,35,6.9,62,1,58,54,20,8.69
FALSE,80,35,7.03,43,1,61,51,12,8.06
FALSE,85,35,7.12,22,0,62,50,6,8.36
