Result,Angle,Speed,HangTime,HorzDist,MaxJumper,VertDist,MinHeight,MaxFrames,DeltaYData
FALSE,45,5,0.72,3,0,1,111,4,14.64
FALSE,45,10,1.44,10,0,3,109,8,8.47
FALSE,45,15,2.16,23,0,6,106,16,8.37
FALSE,45,20,2.89,41,1,10,102,27,8.25
FALSE,45,25,3.61,64,2,16,96,41,8.15
TRUE,45,30,4.33,92,2,23,89,54,-743|-693|-643|-592|-542|-492|-442|-392|-342|-291|-241|-191|-141|-91|-40|10|60|110|160|210|261|311|361|411|461|511|562|612|662|712|762|813|863|913|963|1013|1063|1114|1164|1214|1264|1314|1364|1415|1465|1515|1565|1615|1666|1716|1766|1816|1866
TRUE,45,35,5.05,125,3,31,81,67,-750|-713|-676|-639|-602|-565|-528|-492|-455|-418|-381|-344|-307|-270|-233|-197|-160|-123|-86|-49|-12|25|61|98|135|172|209|246|283|319|356|393|430|467|504|541|578|614|651|688|725|762|799|836|872|909|946|983|1020|1057|1094|1130|1167|1204|1241|1278|1315|1352|1389|1425|1462|1499|1536|1573|1610|1647
TRUE,45,40,5.77,163,5,41,71,82,-754|-726|-697|-669|-641|-613|-585|-556|-528|-500|-472|-443|-415|-387|-359|-331|-302|-274|-246|-218|-189|-161|-133|-105|-77|-48|-20|8|36|65|93|121|149|178|206|234|262|290|319|347|375|403|432|460|488|516|544|573|601|629|657|686|714|742|770|798|827|855|883|911|940|968|996|1024|1052|1081|1109|1137|1165|1194|1222|1250|1278|1306|1335|1363|1391|1419|1448|1476|1504
TRUE,45,45,6.49,207,6,52,60,97,-757|-735|-712|-690|-668|-645|-623|-601|-578|-556|-534|-512|-489|-467|-445|-422|-400|-378|-355|-333|-311|-289|-266|-244|-222|-199|-177|-155|-132|-110|-88|-66|-43|-21|1|24|46|68|91|113|135|157|180|202|224|247|269|291|314|336|358|380|403|425|447|470|492|514|537|559|581|603|626|648|670|693|715|737|760|782|804|826|849|871|893|916|938|960|983|1005|1027|1049|1072|1094|1116|1139|1161|1183|1206|1228|1250|1272|1295|1317|1339|1362
TRUE,45,50,7.22,255,7,64,48,114,-759|-741|-723|-705|-687|-669|-651|-633|-614|-596|-578|-560|-542|-524|-506|-488|-470|-452|-434|-416|-398|-380|-362|-344|-325|-307|-289|-271|-253|-235|-217|-199|-181|-163|-145|-127|-109|-91|-73|-54|-36|-18|0|18|36|54|72|90|108|126|144|162|180|198|216|235|253|271|289|307|325|343|361|379|397|415|433|451|469|487|505|524|542|560|578|596|614|632|650|668|686|704|722|740|758|776|794|813|831|849|867|885|903|921|939|957|975|993|1011|1029|1047|1065|1083|1102|1120|1138|1156|1174|1192|1210|1228|1246|1264
TRUE,45,55,7.94,309,9,77,35,134,-761|-746|-731|-716|-701|-686|-671|-656|-641|-626|-611|-596|-581|-566|-552|-537|-522|-507|-492|-477|-462|-447|-432|-417|-402|-387|-372|-357|-343|-328|-313|-298|-283|-268|-253|-238|-223|-208|-193|-178|-163|-148|-134|-119|-104|-89|-74|-59|-44|-29|-14|1|16|31|46|61|75|90|105|120|135|150|165|180|195|210|225|240|255|270|284|299|314|329|344|359|374|389|404|419|434|449|464|479|493|508|523|538|553|568|583|598|613|628|643|658|673|688|702|717|732|747|762|777|792|807|822|837|852|867|882|897|911|926|941|956|971|986|1001|1016|1031|1046|1061|1076|1091|1106|1120|1135|1150|1165|1180|1195|1210
